Age,Income,Score,Experience,Purchases_Last_Year,Purchased,Gender_Male,Gender_Other,Product_Type_Clothing,Product_Type_Electronics,Product_Type_Food
56.0,23343.0,80.0,31.0,39.0,0.0,True,False,False,False,False
69.0,33500.0,4.0,23.0,31.0,0.0,True,False,False,False,False
46.0,73222.0,28.0,13.0,49.0,1.0,False,False,True,False,False
32.0,49375.0,3.0,31.0,32.0,0.0,False,False,False,False,False
60.0,79494.0,9.0,15.0,1.0,0.0,True,False,False,False,False
25.0,36964.0,55.0,3.0,32.0,0.0,True,False,False,False,False
38.0,133429.0,16.0,36.0,32.0,0.0,True,False,False,False,False
56.0,141692.0,73.0,20.0,40.0,1.0,False,False,False,True,False
36.0,79638.0,16.0,13.0,12.0,0.0,True,False,False,False,False
40.0,93666.0,83.0,30.0,29.0,0.0,True,False,False,True,False
45.0,105067.0,87.0,17.0,32.0,1.0,True,False,False,True,False
28.0,79494.0,68.0,6.0,12.0,0.0,True,False,False,False,False
41.0,87215.0,33.0,9.0,25.0,1.0,True,False,False,False,True
53.0,89042.0,5.0,6.0,21.0,0.0,False,False,False,True,False
57.0,33284.0,52.0,32.0,38.0,1.0,True,False,False,False,True
41.0,92789.0,65.0,22.0,1.0,1.0,False,False,False,False,True
20.0,104664.0,76.0,20.0,37.0,1.0,True,False,False,False,False
39.0,113468.0,42.0,18.0,38.0,1.0,False,False,True,False,False
19.0,81389.0,74.0,18.0,25.0,1.0,False,False,False,False,False
41.0,29435.0,22.0,35.0,45.0,0.0,False,False,True,False,False
61.0,74340.0,54.0,28.0,49.0,1.0,False,False,True,False,False
47.0,64078.0,79.0,17.0,14.0,1.0,True,False,False,False,False
55.0,98832.0,94.0,1.0,33.0,1.0,True,False,False,False,False
19.0,71293.0,74.0,0.0,41.0,1.0,False,False,True,False,False
38.0,115981.0,15.0,4.0,43.0,0.0,False,True,False,False,False
50.0,98781.0,7.0,19.0,48.0,0.0,False,False,True,False,False
29.0,80403.0,3.0,10.0,39.0,0.0,False,False,False,False,True
39.0,49124.0,3.0,1.0,10.0,0.0,False,False,False,False,False
61.0,115435.0,55.0,2.0,2.0,1.0,True,False,False,False,True
42.0,63919.0,24.0,22.0,5.0,1.0,True,False,False,True,False
66.0,128761.0,66.0,11.0,8.0,1.0,False,False,False,False,True
44.0,141305.0,95.0,19.0,5.0,1.0,False,False,False,False,True
59.0,55247.0,66.0,4.0,8.0,0.0,True,False,True,False,False
45.0,141172.0,26.0,36.0,38.0,1.0,False,False,False,False,True
33.0,114758.0,92.0,37.0,30.0,1.0,True,False,False,False,False
32.0,111747.0,31.0,29.0,31.0,0.0,False,False,True,False,False
64.0,82752.0,49.0,8.0,40.0,1.0,True,False,False,True,False
68.0,76573.0,60.0,33.0,49.0,0.0,True,False,False,False,False
61.0,79101.0,50.0,34.0,11.0,0.0,False,False,False,True,False
69.0,122756.0,18.0,21.0,7.0,0.0,True,False,False,False,True
20.0,46646.0,20.0,23.0,7.0,1.0,False,False,False,False,False
54.0,124185.0,4.0,16.0,49.0,0.0,False,False,False,False,False
68.0,43049.0,81.0,9.0,27.0,1.0,False,False,False,True,False
24.0,99605.0,91.0,29.0,19.0,1.0,True,False,False,False,False
38.0,118116.0,41.0,22.0,46.0,1.0,True,False,False,False,False
26.0,117379.0,60.0,31.0,6.0,1.0,True,False,False,False,False
56.0,88385.0,21.0,16.0,10.0,1.0,False,True,False,False,True
35.0,146131.0,20.0,16.0,19.0,0.0,False,False,False,True,False
21.0,60158.0,69.0,13.0,15.0,1.0,False,False,False,False,False
42.0,85417.0,0.0,8.0,3.0,0.0,False,False,True,False,False
31.0,43289.0,4.0,39.0,5.0,0.0,False,False,True,False,False
67.0,130226.0,11.0,1.0,21.0,0.0,False,False,True,False,False
26.0,120793.0,89.0,24.0,25.0,0.0,True,False,True,False,False
43.0,29823.0,45.0,38.0,2.0,0.0,False,False,False,False,True
19.0,80160.0,33.0,8.0,40.0,0.0,True,False,False,False,False
37.0,61975.0,48.0,21.0,41.0,0.0,False,False,False,True,False
45.0,29540.0,77.0,3.0,13.0,1.0,False,False,False,False,False
64.0,36364.0,89.0,25.0,10.0,0.0,False,False,False,False,True
24.0,24611.0,44.0,28.0,17.0,0.0,True,False,True,False,False
61.0,47663.0,26.0,33.0,11.0,0.0,True,False,False,False,True
25.0,71991.0,72.0,22.0,22.0,1.0,True,False,False,False,False
64.0,77679.0,25.0,36.0,11.0,0.0,True,False,False,True,False
52.0,124182.0,46.0,10.0,12.0,0.0,True,False,False,False,True
31.0,50977.0,85.0,5.0,24.0,0.0,False,False,False,True,False
34.0,114704.0,55.0,17.0,44.0,1.0,False,False,False,False,True
53.0,69115.0,93.0,20.0,18.0,1.0,True,False,False,True,False
67.0,111007.0,62.0,35.0,45.0,0.0,True,False,False,True,False
57.0,108223.0,47.0,37.0,35.0,1.0,True,False,True,False,False
