Age,Income,Score,Experience,Purchases_Last_Year,Purchased,Gender_Male,Gender_Other,Product_Type_Clothing,Product_Type_Electronics,Product_Type_Food
56.0,23343.0,80,31,39,0,True,False,False,False,False
69.0,33500.0,4,23,31,0,True,False,False,False,False
46.0,73222.0,28,13,49,1,False,False,True,False,False
32.0,49375.0,3,31,32,0,False,False,False,False,False
60.0,79494.0,9,15,1,0,True,False,False,False,False
25.0,36964.0,55,3,32,0,True,False,False,False,False
38.0,133429.0,16,36,32,0,True,False,False,False,False
56.0,141692.0,73,20,40,1,False,False,False,True,False
36.0,79638.0,16,13,12,0,True,False,False,False,False
40.0,93666.0,83,30,29,0,True,False,False,True,False
45.0,105067.0,87,17,32,1,True,False,False,True,False
28.0,79494.0,68,6,12,0,True,False,False,False,False
41.0,87215.0,33,9,25,1,True,False,False,False,True
53.0,89042.0,5,6,21,0,False,False,False,True,False
57.0,33284.0,52,32,38,1,True,False,False,False,True
41.0,92789.0,65,22,1,1,False,False,False,False,True
20.0,104664.0,76,20,37,1,True,False,False,False,False
39.0,113468.0,42,18,38,1,False,False,True,False,False
19.0,81389.0,74,18,25,1,False,False,False,False,False
41.0,29435.0,22,35,45,0,False,False,True,False,False
61.0,74340.0,54,28,49,1,False,False,True,False,False
47.0,64078.0,79,17,14,1,True,False,False,False,False
55.0,98832.0,94,1,33,1,True,False,False,False,False
19.0,71293.0,74,0,41,1,False,False,True,False,False
38.0,115981.0,15,4,43,0,False,True,False,False,False
50.0,98781.0,7,19,48,0,False,False,True,False,False
29.0,80403.0,3,10,39,0,False,False,False,False,True
39.0,49124.0,3,1,10,0,False,False,False,False,False
61.0,115435.0,55,2,2,1,True,False,False,False,True
42.0,63919.0,24,22,5,1,True,False,False,True,False
66.0,128761.0,66,11,8,1,False,False,False,False,True
44.0,141305.0,95,19,5,1,False,False,False,False,True
59.0,55247.0,66,4,8,0,True,False,True,False,False
45.0,141172.0,26,36,38,1,False,False,False,False,True
33.0,114758.0,92,37,30,1,True,False,False,False,False
32.0,111747.0,31,29,31,0,False,False,True,False,False
64.0,82752.0,49,8,40,1,True,False,False,True,False
68.0,76573.0,60,33,49,0,True,False,False,False,False
61.0,79101.0,50,34,11,0,False,False,False,True,False
69.0,122756.0,18,21,7,0,True,False,False,False,True
20.0,46646.0,20,23,7,1,False,False,False,False,False
54.0,124185.0,4,16,49,0,False,False,False,False,False
68.0,43049.0,81,9,27,1,False,False,False,True,False
24.0,99605.0,91,29,19,1,True,False,False,False,False
38.0,118116.0,41,22,46,1,True,False,False,False,False
26.0,117379.0,60,31,6,1,True,False,False,False,False
56.0,88385.0,21,16,10,1,False,True,False,False,True
35.0,146131.0,20,16,19,0,False,False,False,True,False
21.0,60158.0,69,13,15,1,False,False,False,False,False
42.0,85417.0,0,8,3,0,False,False,True,False,False
31.0,43289.0,4,39,5,0,False,False,True,False,False
67.0,130226.0,11,1,21,0,False,False,True,False,False
26.0,120793.0,89,24,25,0,True,False,True,False,False
43.0,29823.0,45,38,2,0,False,False,False,False,True
19.0,80160.0,33,8,40,0,True,False,False,False,False
37.0,61975.0,48,21,41,0,False,False,False,True,False
45.0,29540.0,77,3,13,1,False,False,False,False,False
64.0,36364.0,89,25,10,0,False,False,False,False,True
24.0,24611.0,44,28,17,0,True,False,True,False,False
61.0,47663.0,26,33,11,0,True,False,False,False,True
25.0,71991.0,72,22,22,1,True,False,False,False,False
64.0,77679.0,25,36,11,0,True,False,False,True,False
52.0,124182.0,46,10,12,0,True,False,False,False,True
31.0,50977.0,85,5,24,0,False,False,False,True,False
34.0,114704.0,55,17,44,1,False,False,False,False,True
53.0,69115.0,93,20,18,1,True,False,False,True,False
67.0,111007.0,62,35,45,0,True,False,False,True,False
57.0,108223.0,47,37,35,1,True,False,True,False,False
21.0,80890.0,60,33,44,0,False,False,False,True,False
19.0,86387.0,80,16,7,1,False,False,True,False,False
23.0,38071.0,25,36,28,0,False,False,False,False,False
59.0,79275.0,35,24,31,0,False,False,False,False,False
21.0,92369.0,0,37,43,0,False,True,True,False,False
46.0,31938.0,7,11,17,1,False,False,True,False,False
35.0,55195.0,98,22,5,1,True,False,False,False,True
43.0,111680.0,51,21,17,1,False,False,False,False,True
61.0,24000.0,78,20,18,0,True,False,False,False,True
51.0,90588.0,46,26,21,1,False,False,False,False,False
27.0,121042.0,55,30,36,1,True,False,False,False,True
53.0,113610.0,85,5,31,1,False,False,False,True,False
31.0,140420.0,13,26,40,0,False,False,False,True,False
48.0,123691.0,89,39,2,1,False,False,False,False,True
65.0,126306.0,27,33,27,1,False,False,False,True,False
32.0,117856.0,86,11,9,0,True,False,False,False,False
25.0,58304.0,77,6,34,1,True,False,False,True,False
31.0,131783.0,87,9,28,0,True,False,False,False,False
40.0,89449.0,1,16,14,0,True,False,True,False,False
57.0,102986.0,25,25,32,1,False,False,True,False,False
38.0,109643.0,13,20,6,1,True,False,True,False,False
33.0,40764.0,58,27,11,1,False,True,True,False,False
62.0,128940.0,55,1,48,0,False,False,False,True,False
35.0,106027.0,6,0,29,0,False,False,False,False,True
64.0,58494.0,2,35,20,1,True,False,False,True,False
41.0,23373.0,22,25,30,0,False,False,False,False,False
43.0,32161.0,17,28,23,0,False,False,False,True,False
42.0,117532.0,37,20,19,1,False,False,False,True,False
62.0,112658.0,98,10,36,1,False,False,False,False,False
58.0,143633.0,14,39,3,1,False,False,True,False,False
46.0,120386.0,63,10,27,1,True,False,True,False,False
32.0,47350.0,88,35,43,1,False,False,True,False,False
62.0,113008.0,27,38,19,0,True,False,False,False,True
18.0,114297.0,73,39,23,0,True,False,False,False,False
42.0,45351.0,38,34,49,0,True,False,False,False,False
24.0,108668.0,56,33,48,1,True,False,False,True,False
26.0,134585.0,16,23,31,1,True,False,False,False,True
41.0,35305.0,85,21,40,1,True,False,True,False,False
18.0,95353.0,89,4,35,1,False,True,False,False,True
61.0,96797.0,43,32,33,1,False,False,False,False,False
25.0,85953.0,24,35,35,0,False,True,False,False,False
41.0,77458.0,16,19,1,1,True,False,False,True,False
28.0,127112.0,12,18,14,1,True,False,False,True,False
68.0,40358.0,83,34,33,1,False,False,False,False,False
34.0,23267.0,24,16,35,0,True,False,True,False,False
25.0,102745.0,67,33,5,1,True,False,True,False,False
52.0,109588.0,9,8,38,0,False,False,False,False,True
52.0,58513.0,66,25,41,0,True,False,False,False,False
50.0,46092.0,17,1,11,0,False,False,False,False,False
22.0,31338.0,99,8,2,1,False,False,True,False,False
59.0,20412.0,85,8,44,1,True,False,True,False,False
56.0,27543.0,33,39,17,1,True,False,False,False,False
58.0,125891.0,7,16,39,1,False,False,False,True,False
45.0,53496.0,39,0,20,0,True,False,False,False,False
24.0,80692.0,82,24,14,1,True,False,False,False,False
26.0,109084.0,41,39,32,1,False,True,True,False,False
25.0,112920.0,40,24,34,1,True,False,True,False,False
29.0,143555.0,5,38,25,1,False,False,False,True,False
51.0,64425.0,51,34,7,0,False,True,False,True,False
50.0,58756.0,25,2,35,0,True,False,False,False,True
65.0,38888.0,63,36,47,0,True,False,False,False,False
40.0,55735.0,97,29,29,0,True,False,True,False,False
41.0,67295.0,58,37,22,0,True,False,False,True,False
54.0,137474.0,55,33,41,1,True,False,False,False,True
52.0,134352.0,58,11,43,1,False,False,False,False,True
61.0,103042.0,69,18,13,0,True,False,True,False,False
57.0,105999.0,32,36,13,1,False,False,True,False,False
39.0,37955.0,52,16,1,1,False,True,False,False,True
44.0,57841.0,21,9,36,0,False,False,False,True,False
52.0,90640.0,20,11,4,1,False,False,False,False,True
18.0,85510.0,69,15,37,1,True,False,False,False,False
52.0,54911.0,69,23,44,0,False,False,False,False,False
54.0,79031.0,3,18,40,1,False,False,True,False,False
64.0,108726.0,93,7,46,1,True,False,False,True,False
31.0,27357.0,74,30,13,0,True,False,False,True,False
20.0,52479.0,61,20,38,1,False,False,False,False,False
18.0,81476.0,61,16,24,1,True,False,False,False,True
22.0,64811.0,93,22,19,0,True,False,True,False,False
43.0,56208.0,94,36,1,1,True,False,False,False,True
31.0,40150.0,23,15,38,0,True,False,False,False,True
56.0,91180.0,54,5,5,1,False,False,False,False,True
44.0,63286.0,8,7,16,0,False,False,False,True,False
26.0,132856.0,2,24,24,1,False,False,False,False,False
32.0,88450.0,30,17,27,0,True,False,False,True,False
32.0,41352.0,39,24,1,0,True,False,False,False,False
43.0,75069.0,35,11,34,0,False,False,True,False,False
59.0,131888.0,23,14,36,0,True,False,True,False,False
30.0,130448.0,94,25,4,1,True,False,False,False,True
68.0,34397.0,5,25,0,1,False,False,False,False,False
49.0,61555.0,65,31,39,1,True,False,False,False,False
56.0,66959.0,83,9,11,0,False,False,False,False,False
66.0,20728.0,91,15,35,0,True,False,False,False,True
69.0,70517.0,74,6,44,1,True,False,False,False,True
49.0,139180.0,3,16,22,1,True,False,True,False,False
21.0,86234.0,78,22,46,1,False,True,False,True,False
47.0,59954.0,5,25,30,0,False,False,False,False,False
54.0,67280.0,93,20,10,0,False,False,False,False,False
40.0,99459.0,50,21,9,1,False,False,False,True,False
56.0,36779.0,61,6,2,1,True,False,False,False,False
62.0,83932.0,56,13,13,0,False,False,False,False,True
32.0,92936.0,65,14,15,1,True,False,False,False,True
60.0,44466.0,78,6,9,0,False,False,False,False,False
46.0,56939.0,74,8,28,1,True,False,False,False,True
53.0,89896.0,7,7,9,0,False,False,False,False,True
30.0,55270.0,25,22,11,0,True,False,False,False,False
49.0,79163.0,50,28,29,0,True,False,True,False,False
24.0,102637.0,44,17,40,1,False,False,False,True,False
68.0,71934.0,43,30,0,0,True,False,False,False,True
39.0,84895.0,4,29,4,0,True,False,True,False,False
45.0,52307.0,69,38,19,0,True,False,False,False,True
19.0,74098.0,25,34,7,1,True,False,False,False,True
59.0,80921.0,67,17,42,1,False,False,False,True,False
62.0,25486.0,18,38,11,0,False,False,False,False,True
23.0,28335.0,83,16,0,1,False,False,False,True,False
45.0,106900.0,96,13,19,1,False,False,False,True,False
45.0,146020.0,19,30,27,1,True,False,False,True,False
61.0,141954.0,11,23,42,1,False,False,True,False,False
61.0,122795.0,46,34,36,0,True,False,False,False,False
37.0,109112.0,0,33,46,0,True,False,True,False,False
47.0,117203.0,89,2,36,0,False,False,False,False,False
28.0,31130.0,13,36,11,0,True,False,False,False,False
45.0,107508.0,63,39,36,0,False,False,False,True,False
42.0,125955.0,37,25,48,1,True,False,False,False,True
56.0,138324.0,36,22,48,1,False,False,False,True,False
50.0,79494.0,10,38,43,1,False,False,False,False,True
18.0,86703.0,99,14,27,0,False,False,False,False,False
44.0,47192.0,76,3,46,0,False,False,False,True,False
69.0,21062.0,2,28,14,0,False,False,False,False,True
30.0,104076.0,32,21,5,0,True,False,True,False,False
45.0,109780.0,5,24,43,1,False,False,False,False,True
20.0,41545.0,49,12,19,1,True,False,False,True,False
56.0,41689.0,9,17,49,0,False,False,True,False,False
23.0,31174.0,4,32,13,0,False,False,False,False,True
25.0,108461.0,22,15,1,1,False,False,False,False,True
44.0,146174.0,9,1,8,1,True,False,False,False,True
26.0,123033.0,43,34,36,1,True,False,False,False,True
54.0,29348.0,1,33,19,0,False,False,False,False,True
50.0,43714.0,12,29,25,0,True,False,True,False,False
68.0,58102.0,39,12,28,0,True,False,False,False,False
59.0,94460.0,1,12,0,0,True,False,True,False,False
61.0,122634.0,83,17,34,1,False,False,True,False,False
41.0,109930.0,64,31,5,1,False,False,True,False,False
32.0,26801.0,62,31,36,1,True,False,False,False,False
49.0,123150.0,72,34,4,0,True,False,False,True,False
49.0,92267.0,16,38,32,0,True,False,False,False,False
41.0,68136.0,8,28,48,1,False,False,True,False,False
58.0,43625.0,74,28,13,0,False,False,False,False,True
69.0,102873.0,14,15,11,0,True,False,False,False,True
66.0,79494.0,23,9,41,1,False,False,True,False,False
66.0,92592.0,37,29,19,0,True,False,False,False,True
69.0,97052.0,34,24,49,1,False,False,True,False,False
29.0,64261.0,93,38,23,0,False,False,False,False,True
56.0,21542.0,94,19,42,1,True,False,False,False,False
19.0,41677.0,48,4,33,0,True,False,False,True,False
20.0,66732.0,68,0,24,1,True,False,False,True,False
66.0,70343.0,61,29,49,1,False,True,False,False,False
54.0,59081.0,59,2,28,0,True,False,False,False,False
66.0,82856.0,49,13,38,1,False,False,True,False,False
34.0,113105.0,77,29,30,0,False,False,True,False,False
66.0,108858.0,74,3,46,0,True,False,True,False,False
19.0,39065.0,8,17,42,0,True,False,False,False,True
19.0,144097.0,33,36,49,0,False,False,True,False,False
45.0,103460.0,75,24,22,1,False,False,False,False,False
40.0,108092.0,98,0,43,1,False,False,False,True,False
54.0,146116.0,34,14,37,1,False,False,False,False,True
49.0,74693.0,0,8,19,0,False,False,True,False,False
50.0,46962.0,39,14,22,1,True,False,False,False,True
18.0,48295.0,63,23,44,1,False,True,False,False,True
36.0,33807.0,21,3,15,0,False,False,True,False,False
19.0,62348.0,59,11,49,0,True,False,False,False,True
61.0,46432.0,63,36,41,0,False,True,False,True,False
43.0,103285.0,92,36,7,0,False,False,False,False,False
49.0,126995.0,71,5,49,1,False,False,False,False,False
23.0,111792.0,10,38,20,0,False,False,False,True,False
49.0,77854.0,13,23,0,0,False,False,False,False,True
21.0,60262.0,59,10,7,1,False,False,True,False,False
28.0,57080.0,29,12,28,0,True,False,False,False,True
34.0,21324.0,34,33,31,0,True,False,False,True,False
55.0,111267.0,84,24,37,1,False,False,False,False,True
41.0,144707.0,36,6,4,0,True,False,False,False,False
22.0,55909.0,4,3,46,1,True,False,False,False,True
69.0,109339.0,82,7,21,0,True,False,False,True,False
51.0,39870.0,77,19,46,0,True,False,False,False,False
23.0,54578.0,25,28,33,0,False,False,False,False,True
39.0,92124.0,61,9,0,1,False,False,False,False,True
28.0,137611.0,3,33,25,1,True,False,False,False,False
65.0,123605.0,88,25,42,1,True,False,True,False,False
33.0,46790.0,41,2,9,0,True,False,False,False,False
50.0,138874.0,88,5,29,1,False,False,True,False,False
26.0,45289.0,17,4,49,0,False,False,False,True,False
23.0,75129.0,39,4,17,1,True,False,False,True,False
33.0,113714.0,71,22,16,1,False,False,False,False,False
46.0,114246.0,38,8,25,0,False,False,False,False,False
20.0,35485.0,13,34,7,0,False,False,False,True,False
37.0,64482.0,31,19,46,0,False,False,True,False,False
53.0,106188.0,50,34,39,1,True,False,False,True,False
36.0,24748.0,37,17,48,0,False,False,False,False,False
43.0,106769.0,96,16,11,1,True,False,False,True,False
20.0,29435.0,22,23,26,0,False,False,False,False,False
36.0,23709.0,62,2,7,0,False,False,False,False,False
37.0,143961.0,14,31,24,0,False,False,False,True,False
49.0,50355.0,96,34,45,1,False,False,True,False,False
24.0,75771.0,24,37,3,0,True,False,False,False,True
69.0,77799.0,16,12,32,1,False,False,False,True,False
58.0,33116.0,96,24,0,1,False,True,False,False,True
50.0,45470.0,65,8,18,0,False,False,False,True,False
57.0,62344.0,77,3,30,1,True,False,False,False,True
56.0,62918.0,52,13,15,0,True,False,True,False,False
35.0,72224.0,50,36,13,1,True,False,True,False,False
57.0,59298.0,38,33,47,0,False,False,False,True,False
18.0,128492.0,50,10,4,0,False,False,False,False,False
28.0,100219.0,69,2,40,0,True,False,False,False,True
45.0,81629.0,5,27,25,0,False,False,False,False,False
42.0,86040.0,66,28,27,0,False,False,False,False,False
67.0,119518.0,6,8,1,0,False,False,False,False,False
40.0,119835.0,50,2,49,0,False,False,True,False,False
48.0,48016.0,71,24,5,1,False,False,False,True,False
47.0,43960.0,41,33,8,1,False,False,False,True,False
59.0,53591.0,63,11,32,0,True,False,True,False,False
52.0,102848.0,14,8,40,0,False,False,True,False,False
24.0,123333.0,28,14,24,0,False,False,False,True,False
33.0,131732.0,32,39,47,0,False,False,False,False,False
43.0,134821.0,93,24,12,1,False,False,False,False,True
65.0,87641.0,26,4,8,0,False,False,False,False,True
69.0,56395.0,35,10,12,1,True,False,False,False,True
66.0,131276.0,28,33,30,0,True,False,False,False,False
19.0,149695.0,37,23,40,0,True,False,False,True,False
18.0,42700.0,56,14,10,1,True,False,True,False,False
65.0,54620.0,96,37,3,0,False,False,False,True,False
29.0,123214.0,26,7,33,0,False,True,False,False,False
22.0,148148.0,54,4,37,1,True,False,True,False,False
54.0,40559.0,32,25,45,0,True,False,False,False,False
49.0,113045.0,67,17,3,0,False,False,False,False,True
26.0,113396.0,85,5,37,1,True,False,False,False,True
58.0,81642.0,65,36,18,1,False,False,False,False,False
52.0,96539.0,9,12,5,0,False,False,True,False,False
36.0,41732.0,4,27,33,1,False,False,True,False,False
65.0,148675.0,73,4,17,1,True,False,False,True,False
33.0,111362.0,96,12,12,1,True,False,False,False,True
20.0,50354.0,37,16,40,0,False,False,False,True,False
37.0,33843.0,12,39,22,0,False,False,False,True,False
41.0,130008.0,30,31,18,1,True,False,False,False,False
50.0,134065.0,46,28,44,1,False,False,False,False,False
41.0,91726.0,99,2,10,1,True,False,False,True,False
69.0,37640.0,87,39,0,0,False,False,False,False,True
28.0,72528.0,51,33,23,0,True,False,False,False,False
66.0,58413.0,55,39,6,1,False,False,False,True,False
25.0,148142.0,14,26,24,0,True,False,False,True,False
53.0,72638.0,28,12,20,0,True,False,False,True,False
55.0,72736.0,7,32,14,0,True,False,False,True,False
57.0,127892.0,4,5,0,0,True,False,False,True,False
37.0,130133.0,28,23,11,0,False,False,False,True,False
52.0,126357.0,46,18,6,1,False,True,False,False,False
65.0,88866.0,67,15,14,0,True,False,False,False,True
42.0,39087.0,75,39,20,0,True,False,False,True,False
52.0,61430.0,44,27,18,0,False,False,True,False,False
42.0,44504.0,1,32,28,0,False,False,False,False,False
46.0,27114.0,26,12,24,0,False,False,False,False,False
35.0,98859.0,94,24,32,1,True,False,False,True,False
63.0,119657.0,35,35,48,1,True,False,False,False,False
35.0,30975.0,35,26,31,0,False,False,False,True,False
19.0,31023.0,25,37,48,0,True,False,False,False,True
52.0,41447.0,42,6,34,1,False,False,False,False,True
33.0,110469.0,26,4,43,0,True,False,False,False,False
58.0,145899.0,68,30,37,0,False,False,False,False,False
53.0,43959.0,19,22,25,0,True,False,True,False,False
50.0,86203.0,10,9,10,0,False,False,False,False,False
21.0,139156.0,73,31,34,1,False,False,True,False,False
50.0,49703.0,37,29,7,0,False,False,False,False,True
31.0,29337.0,5,38,45,0,True,False,False,False,True
38.0,66427.0,71,30,13,1,False,False,False,True,False
65.0,141507.0,22,17,9,0,False,False,False,False,True
37.0,81529.0,46,35,1,1,False,False,True,False,False
25.0,122023.0,89,1,45,1,False,False,False,False,False
24.0,104665.0,45,13,8,1,False,False,False,True,False
20.0,125787.0,11,12,2,0,False,False,True,False,False
34.0,51921.0,89,28,20,1,True,False,False,False,False
50.0,53307.0,12,11,25,0,False,False,False,True,False
65.0,47355.0,61,38,7,0,False,False,False,False,True
29.0,123268.0,81,1,47,1,True,False,True,False,False
68.0,147016.0,88,31,1,1,True,False,False,False,False
39.0,24835.0,96,12,5,0,True,False,False,True,False
39.0,40159.0,59,26,27,0,False,False,False,True,False
63.0,124346.0,42,16,28,1,False,False,False,False,True
47.0,67605.0,75,39,25,0,False,False,False,False,False
55.0,141790.0,99,30,24,1,False,False,False,False,True
55.0,125616.0,67,33,11,1,True,False,False,False,True
62.0,58088.0,4,23,4,0,True,False,False,False,False
68.0,98752.0,36,34,33,0,True,False,False,False,False
25.0,75284.0,71,5,47,0,True,False,False,False,False
44.0,77043.0,91,18,36,1,True,False,True,False,False
45.0,145388.0,30,29,14,0,True,False,False,False,False
51.0,55547.0,8,6,43,0,False,False,False,True,False
38.0,117007.0,50,9,35,1,False,False,False,False,True
47.0,102844.0,28,31,14,1,False,True,True,False,False
50.0,47532.0,77,33,42,0,False,False,False,False,False
45.0,54349.0,39,27,47,0,False,False,True,False,False
64.0,142402.0,40,14,22,1,True,False,False,False,False
50.0,138012.0,85,29,5,1,False,False,True,False,False
22.0,65445.0,10,36,45,0,False,False,False,False,True
65.0,25713.0,22,28,49,0,True,False,False,False,True
36.0,76178.0,0,21,43,0,True,False,False,True,False
21.0,69407.0,45,3,42,0,False,False,False,True,False
52.0,90340.0,20,19,44,0,True,False,False,False,False
66.0,70990.0,89,31,20,1,False,False,False,False,True
34.0,95672.0,35,35,22,0,False,False,True,False,False
61.0,149473.0,53,3,42,1,True,False,True,False,False
45.0,85545.0,86,26,15,0,True,False,True,False,False
47.0,104791.0,56,16,46,0,True,False,False,True,False
46.0,79494.0,0,11,14,0,True,False,True,False,False
63.0,43793.0,62,21,24,1,True,False,False,True,False
