Age,Income,Score,Experience,Purchases_Last_Year,Gender,Product_Type,Purchased
56,23343,80,31,39,Male,Books,0
69,33500,4,23,31,Male,Books,0
46,73222,28,13,49,Female,Clothing,1
32,49375,3,31,32,Female,Books,0
60,29662,9,15,1,Male,Books,0
25,36964,55,3,32,Male,Books,0
38,133429,16,36,32,Male,Books,0
56,141692,73,20,40,Female,Electronics,1
36,79638,16,13,12,Male,Books,0
40,93666,83,30,29,Male,Electronics,0
28,105067,87,17,32,Male,Electronics,1
28,138937,68,6,12,Male,Books,0
41,87215,33,9,25,Male,Food,1
53,89042,5,6,21,Female,Electronics,0
57,33284,52,32,38,Male,Food,1
41,92789,65,22,1,Female,Food,1
20,104664,76,20,37,Male,Books,1
39,113468,42,18,38,Female,Clothing,1
19,81389,74,18,25,Female,Books,1
41,29435,22,35,45,Female,Clothing,0
61,74340,54,28,49,Female,Clothing,1
47,64078,79,17,14,Male,Books,1
55,98832,94,1,33,Male,Books,1
19,71293,74,0,41,Female,Clothing,1
38,115981,15,4,43,Other,Books,0
50,98781,7,19,48,Female,Clothing,0
29,80403,3,10,39,Female,Food,0
39,49124,3,1,10,Female,Books,0
61,115435,55,2,2,Male,Food,1
42,63919,24,22,5,Male,Electronics,1
66,128761,66,11,8,Female,Food,1
44,141305,95,19,5,Female,Food,1
59,55247,66,4,8,Male,Clothing,0
45,141172,26,36,38,Female,Food,1
33,114758,92,37,30,Male,Books,1
32,111747,31,29,31,Female,Clothing,0
64,82752,49,8,40,Male,Electronics,1
68,76573,60,33,49,Male,Books,0
61,79101,50,34,11,Female,Electronics,0
69,122756,18,21,7,Male,Food,0
20,46646,20,23,7,Female,Books,1
54,124185,4,16,49,Female,Books,0
68,43049,81,9,27,Female,Electronics,1
24,99605,91,29,19,Male,Books,1
38,118116,41,22,46,Male,Books,1
26,117379,60,31,6,Male,Books,1
56,88385,21,16,10,Other,Food,1
35,146131,20,16,19,Female,Electronics,0
21,60158,69,13,15,Female,Books,1
42,85417,0,8,3,Female,Clothing,0
31,43289,4,39,5,Female,Clothing,0
67,130226,11,1,21,Female,Clothing,0
26,120793,89,24,25,Male,Clothing,0
43,29823,45,38,2,Female,Food,0
19,80160,33,8,40,Male,Books,0
37,61975,48,21,41,Female,Electronics,0
45,29540,77,3,13,Female,Books,1
64,36364,89,25,10,Female,Food,0
24,24611,44,28,17,Male,Clothing,0
61,47663,26,33,11,Male,Food,0
25,71991,72,22,22,Male,Books,1
64,77679,25,36,11,Male,Electronics,0
52,124182,46,10,12,Male,Food,0
31,50977,85,5,24,Female,Electronics,0
34,114704,55,17,44,Female,Food,1
53,69115,93,20,18,Male,Electronics,1
67,111007,62,35,45,Male,Electronics,0
57,108223,47,37,35,Male,Clothing,1
21,80890,60,33,44,Female,Electronics,0
19,86387,80,16,7,Female,Clothing,1
23,38071,25,36,28,Female,Books,0
59,79275,35,24,31,Female,Books,0
21,92369,0,37,43,Other,Clothing,0
46,31938,7,11,17,Female,Clothing,1
35,55195,98,22,5,Male,Food,1
43,111680,51,21,17,Female,Food,1
61,24000,78,20,18,Male,Food,0
51,90588,46,26,21,Female,Books,1
27,121042,55,30,36,Male,Food,1
53,113610,85,5,31,Female,Electronics,1
31,140420,13,26,40,Female,Electronics,0
48,123691,89,39,2,Female,Food,1
65,126306,27,33,27,Female,Electronics,1
32,117856,86,11,9,Male,Books,0
25,58304,77,6,34,Male,Electronics,1
31,131783,87,9,28,Male,Books,0
40,89449,1,16,14,Male,Clothing,0
57,102986,25,25,32,Female,Clothing,1
38,109643,13,20,6,Male,Clothing,1
33,40764,58,27,11,Other,Clothing,1
62,128940,55,1,48,Female,Electronics,0
35,106027,6,0,29,Female,Food,0
64,58494,2,35,20,Male,Electronics,1
41,23373,22,25,30,Female,Books,0
43,32161,17,28,23,Female,Electronics,0
42,117532,37,20,19,Female,Electronics,1
62,112658,98,10,36,Female,Books,1
58,143633,14,39,3,Female,Clothing,1
46,120386,63,10,27,Male,Clothing,1
32,47350,88,35,43,Female,Clothing,1
62,113008,27,38,19,Male,Food,0
18,114297,73,39,23,Male,Books,0
42,45351,38,34,49,Male,Books,0
24,108668,56,33,48,Male,Electronics,1
26,134585,16,23,31,Male,Food,1
41,35305,85,21,40,Male,Clothing,1
18,95353,89,4,35,Other,Food,1
61,96797,43,32,33,Female,Books,1
25,85953,24,35,35,Other,Books,0
41,77458,16,19,1,Male,Electronics,1
28,127112,12,18,14,Male,Electronics,1
68,40358,83,34,33,Female,Books,1
34,23267,24,16,35,Male,Clothing,0
25,102745,67,33,5,Male,Clothing,1
52,109588,9,8,38,Female,Food,0
52,58513,66,25,41,Male,Books,0
50,46092,17,1,11,Female,Books,0
22,31338,99,8,2,Female,Clothing,1
59,20412,85,8,44,Male,Clothing,1
56,27543,33,39,17,Male,Books,1
58,125891,7,16,39,Female,Electronics,1
45,53496,39,0,20,Male,Books,0
24,80692,82,24,14,Male,Books,1
26,109084,41,39,32,Other,Clothing,1
25,112920,40,24,34,Male,Clothing,1
29,143555,5,38,25,Female,Electronics,1
51,64425,51,34,7,Other,Electronics,0
50,58756,25,2,35,Male,Food,0
65,38888,63,36,47,Male,Books,0
40,55735,97,29,29,Male,Clothing,0
41,67295,58,37,22,Male,Electronics,0
54,137474,55,33,41,Male,Food,1
52,134352,58,11,43,Female,Food,1
61,103042,69,18,13,Male,Clothing,0
57,105999,32,36,13,Female,Clothing,1
39,37955,52,16,1,Other,Food,1
44,57841,21,9,36,Female,Electronics,0
52,90640,20,11,4,Female,Food,1
18,85510,69,15,37,Male,Books,1
52,54911,69,23,44,Female,Books,0
54,79031,3,18,40,Female,Clothing,1
64,108726,93,7,46,Male,Electronics,1
31,27357,74,30,13,Male,Electronics,0
20,52479,61,20,38,Female,Books,1
18,81476,61,16,24,Male,Food,1
22,64811,93,22,19,Male,Clothing,0
43,56208,94,36,1,Male,Food,1
31,40150,23,15,38,Male,Food,0
56,91180,54,5,5,Female,Food,1
44,63286,8,7,16,Female,Electronics,0
26,132856,2,24,24,Female,Books,1
32,88450,30,17,27,Male,Electronics,0
32,41352,39,24,1,Male,Books,0
43,75069,35,11,34,Female,Clothing,0
59,131888,23,14,36,Male,Clothing,0
30,130448,94,25,4,Male,Food,1
68,34397,5,25,0,Female,Books,1
