ad_ref,assembly,body,ad_city,color,engine_cc,fuel_type,make,mileage,model,registered,transmission,year,price
7927285,Imported,Van,Lahore,Pearl White,2000,Hybrid,Nissan,124000,Serena,Un-Registered,Automatic,1905,8990000
7679303,Imported,Hatchback,Lahore,Grey,996,Petrol,Toyota,30738,Vitz,Punjab,Automatic,1905,4190000
7915479,,Sedan,Lahore,Super white,1798,Petrol,Toyota,183000,Corolla,Punjab,Automatic,1905,3990000
7918380,,Sedan,Lahore,Crystal Black Pearl,1500,Petrol,Honda,41000,Civic,Punjab,Automatic,1905,6490000
7676167,Imported,MPV,Lahore,Silver,3000,Petrol,Toyota,126000,Alphard,Punjab,Automatic,1905,4750000
7908190,Imported,SUV,Lahore,White,2700,Petrol,Toyota,34000,Prado,Un-Registered,Automatic,1905,28900000
7823946,,Sedan,Lahore,Modern Steel Metallic,1500,Petrol,Honda,65989,Civic,Punjab,Automatic,1905,6490000
7900746,Imported,Van,Lahore,Black,2000,Hybrid,Nissan,97000,Serena,Un-Registered,Automatic,1905,7700000
7917469,Imported,SUV,Lahore,White Pearl Crystal Shine,4600,Petrol,Toyota,9500,Land,Un-Registered,Automatic,1905,79800000
7815514,,Sedan,Lahore,Crystal Black,1800,Petrol,Honda,147000,Civic,Punjab,Automatic,1905,4300000
7931905,Imported,Sedan,Sialkot,Black,1800,Petrol,Audi,61000,A4,Islamabad,Automatic,1905,7300000
7931906,,,Lahore,White,1500,Petrol,Honda,81000,BR-V,Islamabad,Manual,1905,4150000
7921784,Imported,Crossover,Lahore,Clear White,1368,Petrol,KIA,37000,Stonic,Punjab,Automatic,1905,5390000
7848640,,Crossover,Lahore,Crystal Black Pearl,1500,Petrol,Honda,12749,HR-V,Punjab,Automatic,1905,7490000
7806751,Imported,Hatchback,Lahore,Black,660,Petrol,Daihatsu,32826,Mira,Un-Registered,Automatic,1905,3690000
7816517,Imported,SUV,Lahore,Beige,4200,Diesel,Toyota,250000,Land,Punjab,Automatic,1905,8850000
7922453,Imported,,Lahore,White,660,Petrol,Suzuki,3800,Alto,Un-Registered,Automatic,1905,4190000
7923220,,Compact SUV,Lahore,Lunar Silver,1499,Petrol,Changan,23000,Oshan,Punjab,Automatic,,8950000
7923246,,Double Cabin,Lahore,Super White,2800,Diesel,Toyota,16000,Hilux,Punjab,Automatic,1905,13800000
7931582,Imported,Crossover,Lahore,Burgundy,996,Petrol,Toyota,59000,Raize,Punjab,Automatic,1905,5750000
7918831,Imported,Van,Lahore,Pearl White,2000,Hybrid,Nissan,86000,Serena,Un-Registered,Automatic,1905,7700000
7863154,Imported,SUV,Lahore,Grey Metallic,2700,Petrol,Toyota,123939,Prado,Islamabad,Automatic,1905,18900000
7926620,,SUV,Lahore,Attitude Black,2800,Diesel,Toyota,1900,Fortuner,Punjab,Automatic,1905,19900000
7931587,Imported,Crossover,Lahore,Silver,1490,Hybrid,Toyota,77000,Yaris,Un-Registered,Automatic,1905,4980000
7931576,,Sedan,Lahore,Lunar Silver Metallic,1800,Petrol,Honda,71000,Civic,Punjab,Automatic,1905,5190000
7914775,,Sedan,Lahore,Maroon,1500,Petrol,Honda,75805,Civic,Lahore,Automatic,1905,6400000
7914577,,Sedan,Lahore,Strong Blue,1300,Petrol,Toyota,87801,Corolla,Islamabad,Automatic,1905,4750000
7911801,,Sedan,Lahore,Bronze Mica,1798,Petrol,Toyota,82962,Corolla,Lahore,Automatic,1905,4200000
7917705,,Hatchback,Lahore,Cerulean Blue,1000,Petrol,Suzuki,154207,Cultus,Lahore,Manual,1905,2500000
7905259,,Sedan,Multan,Black,1300,Petrol,Toyota,105000,Corolla,Lahore,Manual,1905,3500000
7929912,,Hatchback,Islamabad,Solid White,796,Petrol,Suzuki,48000,Mehran,Islamabad,Manual,1905,1350000
7929913,,Sedan,Karachi,Silver Metallic,1598,Petrol,Toyota,4200,Corolla,Karachi,Automatic,1905,6600000
7929917,Imported,Compact SUV,Lahore,Grey,1500,Hybrid,Haval,1,H6,Un-Registered,Automatic,,13200000
7929918,,Hatchback,Islamabad,Solid White,660,Petrol,Suzuki,700,Alto,Un-Registered,Automatic,,3100000
7929865,Imported,Hatchback,Karachi,,660,Petrol,Daihatsu,117000,Mira,Karachi,Automatic,1905,2150000
7929919,Imported,Hatchback,Islamabad,White,660,Petrol,Daihatsu,200000,Mira,Lahore,Automatic,1905,1400000
7929922,,Hatchback,Faisalabad,Silver,1000,Petrol,Hyundai,100000,Santro,Lahore,Manual,1905,1100000
7929924,,Hatchback,Lahore,Solid White,1000,Petrol,Suzuki,90000,Alto,Lahore,Manual,1905,1050000
7872744,,Sedan,Lahore,Attitude Black,1300,Petrol,Toyota,120000,Corolla,Lahore,Manual,1905,3180000
7929926,,Hatchback,Lahore,Silky Silver,1000,Petrol,Suzuki,115000,Cultus,Lahore,Manual,1905,1575000
7839139,Imported,Hatchback,Sialkot,,660,Hybrid,Suzuki,43922,Wagon,Punjab,Automatic,1905,3650000
7929768,,Hatchback,Karachi,Silky Silver,1000,Petrol,Suzuki,123456,Alto,Karachi,Manual,1905,600000
7929927,,Sedan,Karachi,Black,1300,Petrol,Toyota,2800,Corolla,Sindh,Manual,1905,4200000
7767406,,Hatchback,Faisalabad,Solid White,1242,Petrol,Suzuki,6000,Swift,Punjab,Automatic,1905,4650000
7929929,,Sedan,Karachi,White,1300,Petrol,Toyota,186000,Corolla,Karachi,Manual,1905,2350000
7929914,Imported,,Lahore,Black,102,,BMW,100,i7,Un-Registered,Automatic,,107500000
7903429,,Double Cabin,Karachi,White,2800,Diesel,Toyota,85000,Hilux,Sindh,Automatic,1905,12000000
7836492,,Sedan,Lahore,Graphite Grey,1600,Petrol,Toyota,90694,Corolla,Lahore,Automatic,1905,5300000
7867258,Imported,Hatchback,Lahore,Blue,660,Petrol,Daihatsu,19010,Mira,Punjab,Automatic,1905,3575000
7836698,,SUV,Lahore,Snow White,1500,Petrol,Proton,12730,X70,Punjab,Automatic,1905,8100000
7726816,Imported,Hatchback,Lahore,Silver,660,Petrol,Mazda,132113,Carol,Sindh,Manual,1905,1550000
7747438,,Hatchback,Lahore,Solid White,796,Petrol,Suzuki,48317,Mehran,Multan,Manual,1905,1150000
7774965,,Hatchback,Lahore,Silky Silver,1000,Petrol,Suzuki,46572,Wagon,Lahore,Manual,1905,2385000
7802113,Imported,Crossover,Lahore,White,3500,Hybrid,Lexus,23000,RX,Un-Registered,Automatic,1905,38700000
7904225,Imported,SUV,Lahore,White,3200,Diesel,Mitsubishi,199000,Pajero,Islamabad,Automatic,1905,11600000
7669275,Imported,,Lahore,White,2500,Hybrid,Toyota,11000,Alphard,Un-Registered,Automatic,1905,25600000
7874058,,Crossover,Lahore,Crystal Black Pearl,1500,Petrol,Honda,4582,HR-V,Lahore,Automatic,1905,8000000
7904248,Imported,SUV,Lahore,Silver Pearl,3400,Petrol,Toyota,296000,Prado,Islamabad,Automatic,1905,8500000
7929756,,Sedan,Islamabad,Silver Metallic,1300,Petrol,Toyota,175000,Corolla,Islamabad,Manual,1905,2620000
7917559,,Sedan,Lahore,White,1800,Petrol,Honda,147035,Civic,Punjab,Automatic,1905,4590000
7929881,,Hatchback,Islamabad,Mercury Blue,998,Petrol,KIA,51,Picanto,Islamabad,Automatic,1905,2925000
